keyword,video_id,video_url,creator_id,creator_username,creator_email,follower_count,source_api,extraction_method,scraped_at,notes
creatorsoftware,7524707806495231240,https://www.tiktok.com/@qsm_official_/video/7524707806495231240,qsm_official_,qsm_official_,example@example.com,152400,page_dom,profile_dom,2025-10-01T18:48:36.691641,
creatorsoftware,7494030454308211999,https://www.tiktok.com/@jieconnect/video/7494030454308211999,jieconnect,jieconnect,jieconnects@gmail.com,81000,page_dom,profile_dom,2025-10-01T18:48:41.548229,
creatorsoftware,7516997645416566039,https://www.tiktok.com/@almin8545/video/7516997645416566039,almin8545,almin8545,example@example.com,1800000,page_dom,profile_dom,2025-10-01T18:48:47.025824,
creatorsoftware,7504714669488114987,https://www.tiktok.com/@aamir20233/video/7504714669488114987,aamir20233,aamir20233,example@example.com,629700,page_dom,profile_dom,2025-10-01T18:48:51.332803,
creatorsoftware,7473468988643691781,https://www.tiktok.com/@bossmediatech/video/7473468988643691781,bossmediatech,bossmediatech,Collabs@bossmediatech.Com,238000,page_dom,profile_dom,2025-10-01T18:48:56.431175,
creatorsoftware,7435211510328380718,https://www.tiktok.com/@happiera1tiktok/video/7435211510328380718,happiera1tiktok,happiera1tiktok,example@example.com,775400,page_dom,profile_dom,2025-10-01T18:49:00.856496,
creatorsoftware,7531020631744187670,https://www.tiktok.com/@chaudhry.flex07/video/7531020631744187670,chaudhry.flex07,chaudhry.flex07,example@example.com,621900,page_dom,profile_dom,2025-10-01T18:49:05.542462,
creatorsoftware,7534333361855204630,https://www.tiktok.com/@vladmonetization/video/7534333361855204630,vladmonetization,vladmonetization,example@example.com,259700,page_dom,profile_dom,2025-10-01T18:49:10.281991,
creatorsoftware,7473706509235391766,https://www.tiktok.com/@anaya.editor1/video/7473706509235391766,anaya.editor1,anaya.editor1,example@example.com,71600,page_dom,profile_dom,2025-10-01T18:49:15.161937,
creatorsoftware,7143560001796263195,https://www.tiktok.com/@digital.gurkha/video/7143560001796263195,digital.gurkha,digital.gurkha,contact@digitalgurkha.com,140200,page_dom,profile_dom,2025-10-01T18:49:19.961305,
creatorsoftware,7520648037190995205,https://www.tiktok.com/@creatorpilotprogram01/video/7520648037190995205,creatorpilotprogram01,creatorpilotprogram01,example@example.com,39300,page_dom,profile_dom,2025-10-01T18:49:24.699684,
creatorsoftware,7454182707376000288,https://www.tiktok.com/@shabi.ul.hassan90/video/7454182707376000288,shabi.ul.hassan90,shabi.ul.hassan90,example@example.com,166500,page_dom,profile_dom,2025-10-01T18:49:28.717195,
creatorsoftware,7520646117923589384,https://www.tiktok.com/@amirapk444/video/7520646117923589384,amirapk444,amirapk444,example@example.com,905800,page_dom,profile_dom,2025-10-01T18:49:34.160665,
creatorsoftware,7541844408837229846,https://www.tiktok.com/@v1et.zip/video/7541844408837229846,v1et.zip,v1et.zip,example@example.com,1584,page_dom,profile_dom,2025-10-01T18:49:39.746378,
creatorsoftware,7503583113495203094,https://www.tiktok.com/@creatorrashidkhan0/video/7503583113495203094,creatorrashidkhan0,creatorrashidkhan0,example@example.com,14400,page_dom,profile_dom,2025-10-01T18:49:44.775552,
creatorsoftware,7481713903550860566,https://www.tiktok.com/@benkaluza/video/7481713903550860566,benkaluza,benkaluza,business@benkaluza.com,487600,page_dom,profile_dom,2025-10-01T18:49:49.943318,
creatorsoftware,7447640296059391254,https://www.tiktok.com/@alim_kh0/video/7447640296059391254,alim_kh0,alim_kh0,Alim@bymnlk.com,2600000,page_dom,profile_dom,2025-10-01T18:49:54.638005,
creatorsoftware,7528810092473437448,https://www.tiktok.com/@learnwithmasaud/video/7528810092473437448,learnwithmasaud,learnwithmasaud,example@example.com,34000,page_dom,profile_dom,2025-10-01T18:49:59.673998,
creatorsoftware,7478996248452779286,https://www.tiktok.com/@ukboy021/video/7478996248452779286,ukboy021,ukboy021,example@example.com,26200,page_dom,profile_dom,2025-10-01T18:50:04.758674,
